value,type,context,source,date
185[.]105[.]46[.]34,ip,Agrius C2 / operational IP (defanged),https://attack.mitre.org/groups/G1030/,2021-05-25
185[.]105[.]46[.]19,ip,Agrius C2 / operational IP (defanged),https://attack.mitre.org/groups/G1030/,2021-05-25
93[.]188[.]207[.]110,ip,Agrius C2 / operational IP (defanged),https://attack.mitre.org/groups/G1030/,2021-05-25
109[.]237[.]107[.]212,ip,Agrius C2 / operational IP (defanged),https://attack.mitre.org/groups/G1030/,2021-05-25
217[.]29[.]62[.]166,ip,Agrius C2 / operational IP (defanged),https://attack.mitre.org/groups/G1030/,2021-05-25
81[.]177[.]22[.]182,ip,Agrius C2 / operational IP (defanged),https://attack.mitre.org/groups/G1030/,2021-05-25
1ea4d26a31dad637d697f9fb70b6ed4d75a13d101e02e02bc00200b42353985c,sha256,Agrius sample (wiper/tooling),https://attack.mitre.org/groups/G1030/,2021-05-25
62e36675ed7267536bd980c07570829fe61136e53de3336eebadeca56ab060c2,sha256,Agrius sample (wiper/tooling),https://attack.mitre.org/groups/G1030/,2021-05-25
abfde7c29a4a703daa2b8ad2637819147de3a890fdd12da8279de51a3cc0d96d,sha256,Agrius sample (wiper/tooling),https://attack.mitre.org/groups/G1030/,2021-05-25
63d51bc3e5cf4068ff04bd3d665c101a003f1d6f52de7366f5a2d9ef5cc041a7,sha256,Agrius sample (wiper/tooling),https://attack.mitre.org/groups/G1030/,2021-05-25
49c3df62c4b62ce8960558daea4a8cf41b11c8f445e218cd257970cf939a3c25,sha256,Agrius sample (wiper/tooling),https://attack.mitre.org/groups/G1030/,2021-05-25
dacdb4976fd75ab2fd7bb22f1b2f9d986f5d92c29555ce2b165c020e2816a200,sha256,Agrius sample (wiper/tooling),https://attack.mitre.org/groups/G1030/,2021-05-25
e43d66b7a4fa09a0714c573fbe4996770d9d85e31912480e73344124017098f9,sha256,Agrius sample (wiper/tooling),https://attack.mitre.org/groups/G1030/,2021-05-25
2a6e3b6e42be2f55f7ab9db9d5790b0cc3f52bee9a1272fc4d79c7c0a3b6abda,sha256,Agrius sample (wiper/tooling),https://attack.mitre.org/groups/G1030/,2021-05-25
13d8d4f4fa483111e4372a6925d24e28f3be082a2ea8f44304384982bd692ec9,sha256,Agrius sample (wiper/tooling),https://attack.mitre.org/groups/G1030/,2021-05-25
a8e63550b56178ae5198c9cc5b704a8be4c8505fea887792b6d911e488592a7c,sha256,Agrius sample (wiper/tooling),https://attack.mitre.org/groups/G1030/,2021-05-25
a112e78e4f8b99b1ceddae44f34692be20ef971944b98e2def995c87d5ae89ee,sha256,Agrius sample (wiper/tooling),https://attack.mitre.org/groups/G1030/,2021-05-25
38e406b17715b1b52ed8d8e4defdb5b79a4ddea9a3381a9f2276b00449ec8835,sha256,Agrius sample (wiper/tooling),https://attack.mitre.org/groups/G1030/,2021-05-25
f65880ef9fec17da4142850e5e7d40ebfc58671f5d66395809977dd5027a6a3e,sha256,Agrius sample (wiper/tooling),https://attack.mitre.org/groups/G1030/,2021-05-25
ec7dc5bfadce28b8a8944fb267642c6f713e5b19a9983d7c6f011ebe0f663097,sha256,Agrius sample (wiper/tooling),https://attack.mitre.org/groups/G1030/,2021-05-25
c52525cd7d05bddb3ee17eb1ad6b5d6670254252b28b18a1451f604dfff932a4,sha256,Agrius sample (wiper/tooling),https://attack.mitre.org/groups/G1030/,2021-05-25
8967c83411cd96b514252df092d8d3eda3f7f2c01b3eef1394901e27465ff981,sha256,Agrius sample (wiper/tooling),https://attack.mitre.org/groups/G1030/,2021-05-25
18c909a2b8c5e16821d6ef908f56881aa0ecceeaccb5fa1e54995935fcfd12f7,sha256,Agrius sample (wiper/tooling),https://attack.mitre.org/groups/G1030/,2021-05-25
2fb88793f8571209c2fcf1be528ca1d59e7ac62e81e73ebb5a0d77b9d5a09cb8,sha256,Agrius sample (wiper/tooling),https://attack.mitre.org/groups/G1030/,2021-05-25
9165d4f3036919a96b86d24b64d75d692802c7513f2b3054b20be40c212240a5,sha256,Agrius sample (wiper/tooling),https://attack.mitre.org/groups/G1030/,2021-05-25
CVE-2018-13379,cve,Exploited by Agrius for initial access,https://attack.mitre.org/groups/G1030/,2021-05-25
