value,type,context,source,date
luis-dubuque[.]in,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
danny-cartwright[.]firm[.]in,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
conner-margie[.]com,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
haroldramsey[.]icu,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
junius-cassin[.]com,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
orin-weimann[.]com,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
jack-keys[.]site,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
elizabeth-steiner[.]tech,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
baldwin-gonzalez[.]live,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
jaime-martinez[.]info,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
judystevenson[.]info,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
robert-keegan[.]life,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
benyallen[.]club,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
chad-jessie[.]info,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
escanor[.]live,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
krasil-anthony[.]icu,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
nicoledotson[.]icu,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
samwinchester[.]club,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
tatsumifoughtogre[.]club,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
grace-fraser[.]site,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
pam-beesly[.]site,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
mozelllittel[.]com,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
skippedtestinapp[.]firebaseio[.]com,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
lightroom-61eb2[.]firebaseio[.]com,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
jolia-16e7b[.]appspot[.]com,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
yellwo-473d0[.]appspot[.]com,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
rashonal[.]appspot[.]com,domain,Arid Viper C2/masquerading domain (defanged),https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
d5e59be8ad9418bebca786b3a0a681f7e97ea6374f379b0c4352fee1219b3c29,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
8667482470edd4f7d484857fea5b560abe62553f299f25bb652f4c6baf697964,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
d69cf49f703409bc01ff188902d88858a6237a2b4b0124d553a9fc490e8df68a,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
1b6113f2faf070d078a643d77f09d4ca65410cf944a89530549fc1bebdb88c8c,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
57fb9daf70417c3cbe390ac44979437c33802a049f7ab2d0e9b69f53763028c5,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
f91e88dadc38e48215c81200920f0ac517da068ef00a75b1b67e3a0cd27a6552,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
a8ca778c5852ae05344ac60b01ad7f43bb21bd8aa709ea1bb03d23bde3146885,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
fb9306f6a0cacce21afd67d0887d7254172f61c7390fc06612c2ca9b55d28f80,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
682b58cad9e815196b7d7ccf04ab7383a9bbf1f74e65679e6c708f2219b8692b,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
11487246a864ee0edf2c05c5f1489558632fb05536d6a599558853640df8cd78,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
ddaeffb12a944a5f4d47b28affe97c1bc3a613dab32e5b5b426ef249cfc29273,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
46dae9b27f100703acf5b9fda2d1b063cca2af0d4abeeccc6cd45d12be919531,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
381b1efca980dd744cb8d36ad44783a35d01a321593a4f39a0cdae9c7eeac52f,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
9c32fdf5af8b86049abd92561b3d281cb9aebf57d2dfef8cc2da59df82dca753,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
f01c07f88071c8f71514db19f68c966f17ac8af0d3288913141714037352c99c,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
99544057a5215e756b67aa47815e27dc157eb850792e5eacda6796922bb9a50b,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
42492efa48785ca118d4b05f28570e7b6be4677a962cb7825a859ad5e3045710,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
5588f6fab387133c21b06f6248259c64260435898edd61866fad50312c2d3b25,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
3d7d75d66428c55dc81563c3bde5477977fadb3325d0224ef9313da133940077,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
fa257cca88522e76a7dc4a10311f739d17587f25fe447ae2b4c84027f2246705,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
57674d0ed1e03807ad9d53a9087388b1b9bf6e9e5d120dbe834730affebe2675,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
47d53f4ab24632bf4ca34e9a10e11b4b6c48a242cbcfcb1579d67523463e59d2,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
83e0db0fa3feaf911a18c1e2076cc40ba17a185e61623a9759991deeca551d8b,hash,Arid Viper sample hash,https://www.sentinelone.com/labs/arid-viper-apts-nest-of-spyc23-malware-continues-to-target-android-devices/,
