value,type,context,source,date
104[.]21[.]10[.]79,ip,Bahamut operational IP (defanged),https://blogs.blackberry.com/en/2020/10/blackberry-uncovers-massive-hack-for-hire-group-targeting-governments-businesses-human-rights-groups-and-influential-individuals,
172[.]67[.]185[.]54,ip,Bahamut operational IP (defanged),https://blogs.blackberry.com/en/2020/10/blackberry-uncovers-massive-hack-for-hire-group-targeting-governments-businesses-human-rights-groups-and-influential-individuals,
ft8hua063okwfdcu21pw[.]de,domain,Bahamut C2/masquerading domain (defanged),https://blogs.blackberry.com/en/2020/10/blackberry-uncovers-massive-hack-for-hire-group-targeting-governments-businesses-human-rights-groups-and-influential-individuals,
thesecurevpn[.]com,domain,Bahamut C2/masquerading domain (defanged),https://blogs.blackberry.com/en/2020/10/blackberry-uncovers-massive-hack-for-hire-group-targeting-governments-businesses-human-rights-groups-and-influential-individuals,
laborer-posted[.]nl,domain,Bahamut C2/masquerading domain (defanged),https://blogs.blackberry.com/en/2020/10/blackberry-uncovers-massive-hack-for-hire-group-targeting-governments-businesses-human-rights-groups-and-influential-individuals,
3144B187EDF4309263FF0BCFD02C6542704145B1,hash,Bahamut sample hash,https://blogs.blackberry.com/en/2020/10/blackberry-uncovers-massive-hack-for-hire-group-targeting-governments-businesses-human-rights-groups-and-influential-individuals,
2FBDC11613A065AFBBF36A66E8F17C0D802F8347,hash,Bahamut sample hash,https://blogs.blackberry.com/en/2020/10/blackberry-uncovers-massive-hack-for-hire-group-targeting-governments-businesses-human-rights-groups-and-influential-individuals,
4F05482E93825E6A40AF3DFE45F6226A044D8635,hash,Bahamut sample hash,https://blogs.blackberry.com/en/2020/10/blackberry-uncovers-massive-hack-for-hire-group-targeting-governments-businesses-human-rights-groups-and-influential-individuals,
79BD0BDFDC3645531C6285C3EB7C24CD0D6B0FAF,hash,Bahamut sample hash,https://blogs.blackberry.com/en/2020/10/blackberry-uncovers-massive-hack-for-hire-group-targeting-governments-businesses-human-rights-groups-and-influential-individuals,
7C49C8A34D1D032606A5E9CDDEBB33AAC86CE4A6,hash,Bahamut sample hash,https://blogs.blackberry.com/en/2020/10/blackberry-uncovers-massive-hack-for-hire-group-targeting-governments-businesses-human-rights-groups-and-influential-individuals,
2E40F7FD49FA8538879F90A85300247FBF2F8F67,hash,Bahamut sample hash,https://blogs.blackberry.com/en/2020/10/blackberry-uncovers-massive-hack-for-hire-group-targeting-governments-businesses-human-rights-groups-and-influential-individuals,
1A9371B8AEAD5BA7D309AEBE4BFFB86B23E38229,hash,Bahamut sample hash,https://blogs.blackberry.com/en/2020/10/blackberry-uncovers-massive-hack-for-hire-group-targeting-governments-businesses-human-rights-groups-and-influential-individuals,
976CC12B71805F4E8E49DCA232E95E00432C1778,hash,Bahamut sample hash,https://blogs.blackberry.com/en/2020/10/blackberry-uncovers-massive-hack-for-hire-group-targeting-governments-businesses-human-rights-groups-and-influential-individuals,
B54FFF5A7F0A279040A4499D5AABCE41EA1840FB,hash,Bahamut sample hash,https://blogs.blackberry.com/en/2020/10/blackberry-uncovers-massive-hack-for-hire-group-targeting-governments-businesses-human-rights-groups-and-influential-individuals,
C74B006BADBB3844843609DD5811AB2CEF16D63B,hash,Bahamut sample hash,https://blogs.blackberry.com/en/2020/10/blackberry-uncovers-massive-hack-for-hire-group-targeting-governments-businesses-human-rights-groups-and-influential-individuals,
8A35D0B20B6F057FE42E606A124CB84D78FA95900A16B056269F1CC613853989,hash,Bahamut sample hash,https://blogs.blackberry.com/en/2020/10/blackberry-uncovers-massive-hack-for-hire-group-targeting-governments-businesses-human-rights-groups-and-influential-individuals,
