value,type,context,source,date
37[.]120[.]222[.]168,ip,Ballistic Bobcat operational IP (defanged),https://www.welivesecurity.com/en/eset-research/sponsor-batch-filed-whiskers-ballistic-bobcats-scan-strike-backdoor/,
5[.]255[.]97[.]172,ip,Ballistic Bobcat operational IP (defanged),https://www.welivesecurity.com/en/eset-research/sponsor-batch-filed-whiskers-ballistic-bobcats-scan-strike-backdoor/,
198[.]144[.]189[.]74,ip,Ballistic Bobcat operational IP (defanged),https://www.welivesecurity.com/en/eset-research/sponsor-batch-filed-whiskers-ballistic-bobcats-scan-strike-backdoor/,
162[.]55[.]137[.]20,ip,Ballistic Bobcat operational IP (defanged),https://www.welivesecurity.com/en/eset-research/sponsor-batch-filed-whiskers-ballistic-bobcats-scan-strike-backdoor/,
098B9A6CE722311553E1D8AC5849BA1DC5834C52,hash,Ballistic Bobcat sample hash,https://www.welivesecurity.com/en/eset-research/sponsor-batch-filed-whiskers-ballistic-bobcats-scan-strike-backdoor/,
5AEE3C957056A8640041ABC108D0B8A3D7A02EBD,hash,Ballistic Bobcat sample hash,https://www.welivesecurity.com/en/eset-research/sponsor-batch-filed-whiskers-ballistic-bobcats-scan-strike-backdoor/,
764EB6CA3752576C182FC19CFF3E86C38DD51475,hash,Ballistic Bobcat sample hash,https://www.welivesecurity.com/en/eset-research/sponsor-batch-filed-whiskers-ballistic-bobcats-scan-strike-backdoor/,
2F3EDA9D788A35F4C467B63860E73C3B010529CC,hash,Ballistic Bobcat sample hash,https://www.welivesecurity.com/en/eset-research/sponsor-batch-filed-whiskers-ballistic-bobcats-scan-strike-backdoor/,
E443DC53284537513C00818392E569C79328F56F,hash,Ballistic Bobcat sample hash,https://www.welivesecurity.com/en/eset-research/sponsor-batch-filed-whiskers-ballistic-bobcats-scan-strike-backdoor/,
C4BC1A5A02F8AC3CF642880DC1FC3B1E46E4DA61,hash,Ballistic Bobcat sample hash,https://www.welivesecurity.com/en/eset-research/sponsor-batch-filed-whiskers-ballistic-bobcats-scan-strike-backdoor/,
39AE8BA8C5280A09BA638DF4C9D64AC0F3F706B6,hash,Ballistic Bobcat sample hash,https://www.welivesecurity.com/en/eset-research/sponsor-batch-filed-whiskers-ballistic-bobcats-scan-strike-backdoor/,
A200BE662CDC0ECE2A2C8FC4DBBC8C574D31848A,hash,Ballistic Bobcat sample hash,https://www.welivesecurity.com/en/eset-research/sponsor-batch-filed-whiskers-ballistic-bobcats-scan-strike-backdoor/,
5D60C8507AC9B840A13FFDF19E3315A3E14DE66A,hash,Ballistic Bobcat sample hash,https://www.welivesecurity.com/en/eset-research/sponsor-batch-filed-whiskers-ballistic-bobcats-scan-strike-backdoor/,
50CFB3CF1A0FE5EC2264ACE53F96FADFE99CC617,hash,Ballistic Bobcat sample hash,https://www.welivesecurity.com/en/eset-research/sponsor-batch-filed-whiskers-ballistic-bobcats-scan-strike-backdoor/,
519CA93366F1B1D71052C6CE140F5C80CE885181,hash,Ballistic Bobcat sample hash,https://www.welivesecurity.com/en/eset-research/sponsor-batch-filed-whiskers-ballistic-bobcats-scan-strike-backdoor/,
4709827C7A95012AB970BF651ED5183083366C79,hash,Ballistic Bobcat sample hash,https://www.welivesecurity.com/en/eset-research/sponsor-batch-filed-whiskers-ballistic-bobcats-scan-strike-backdoor/,
99C7B5827DF89B4FAFC2B565ABED97C58A3C65B8,hash,Ballistic Bobcat sample hash,https://www.welivesecurity.com/en/eset-research/sponsor-batch-filed-whiskers-ballistic-bobcats-scan-strike-backdoor/,
E52AA118A59502790A4DD6625854BD93C0DEAF27,hash,Ballistic Bobcat sample hash,https://www.welivesecurity.com/en/eset-research/sponsor-batch-filed-whiskers-ballistic-bobcats-scan-strike-backdoor/,
CVE-2021-26855,cve,Exploited by Ballistic Bobcat,https://www.welivesecurity.com/en/eset-research/sponsor-batch-filed-whiskers-ballistic-bobcats-scan-strike-backdoor/,
