value,type,context,source,date
107[.]173[.]231[.]114,ip,Cavern Manticore operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
198[.]12[.]65[.]175,ip,Cavern Manticore operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
148[.]251[.]71[.]182,ip,Cavern Manticore operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
162[.]55[.]137[.]20,ip,Cavern Manticore operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
51[.]89[.]169[.]198,ip,Cavern Manticore operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
142[.]44[.]251[.]77,ip,Cavern Manticore operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
51[.]89[.]135[.]142,ip,Cavern Manticore operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
51[.]89[.]190[.]128,ip,Cavern Manticore operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
51[.]89[.]178[.]210,ip,Cavern Manticore operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
142[.]44[.]135[.]86,ip,Cavern Manticore operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
182[.]54[.]217[.]2,ip,Cavern Manticore operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
newdesk[.]top,domain,Cavern Manticore C2/masquerading domain (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
onedriver-srv[.]ml,domain,Cavern Manticore C2/masquerading domain (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
symantecserver[.]co,domain,Cavern Manticore C2/masquerading domain (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
microsoft-updateserver[.]cf,domain,Cavern Manticore C2/masquerading domain (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
msupdate[.]us,domain,Cavern Manticore C2/masquerading domain (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
service-management[.]tk,domain,Cavern Manticore C2/masquerading domain (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
aptmirror[.]eu,domain,Cavern Manticore C2/masquerading domain (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
winstore[.]us,domain,Cavern Manticore C2/masquerading domain (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
my-logford[.]ml,domain,Cavern Manticore C2/masquerading domain (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
gupdate[.]us,domain,Cavern Manticore C2/masquerading domain (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
tcp443[.]org,domain,Cavern Manticore C2/masquerading domain (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
google[.]onedriver-srv[.]ml,domain,Cavern Manticore C2/masquerading domain (defanged),https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
668ec78916bab79e707dc99fdecfa10f3c87ee36d4dee6e3502d1f5663a428a0,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
27102b416ef5df186bd8b35190c2a4cc4e2fbf37,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
5f098b55f94f5a448ca28904a57c0e58,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
724d54971c0bba8ff32aeb6044d3b3fd571b13a4c19cada015ea4bcab30cae26,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
3da45558d8098eb41ed7db5115af5a2c61c543af,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
0f8b592126cc2be0e9967d21c40806bc,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
24a73efb6dcc798f1b8a08ccf3fa2263ff61587210fdec1f2b7641f05550fe3b,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
1bf98c565cbfc4a500fab1d44b0f7c357d87abf6,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
c8bd04b93ac9b95b712a84f119b31959,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
28332bdbfaeb8333dad5ada3c10819a1a015db9106d5e8a74beaaf03797511aa,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
5bd0690247dc1e446916800af169270f100d089b,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
b90f05b5e705e0b0cb47f51b985f84db,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
e6f4ce982908108759536f5aff21fa6686b8ea8153fdd4cdd087cceff5f1748a,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
5100230b454c33c05d1aef4235898543595ba378,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
c64f3293658ed3b3ba1f54c17fe37d18,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
9dce6086c61c23420ac497f306debf32731decc5527231002dbb69523fad3369,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
7f310ac9423852b7a0af0c898c3404b3b47cbf53,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
b22b4531dce8a9cb16ecb9e4c17daea3,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
7feb4d36a33f43d7a1bb254e425ccd458d3ea921,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
d28e07d2722f771bd31c9ff90b9c64d4a188435a,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
624278ed3019a42131a3a3f6e0e2aac8d8c8b438,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
e76e9237c49e7598f2b3f94a2b52b01002f8e862,hash,Cavern Manticore sample hash,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
CVE-2021-44228,cve,Exploited by Cavern Manticore,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
CVE-2021-45046,cve,Exploited by Cavern Manticore,https://www.microsoft.com/en-us/security/blog/2022/09/07/profiling-dev-0270-phosphorus-ransomware-operations/,
