value,type,context,source,date
104[.]200[.]128[.]161,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
104[.]200[.]128[.]173,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
104[.]200[.]128[.]183,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
104[.]200[.]128[.]195,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
104[.]200[.]128[.]205,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
104[.]40[.]211[.]100,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
107[.]181[.]160[.]138,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
107[.]181[.]174[.]21,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
141[.]105[.]67[.]58,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
141[.]105[.]69[.]69,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
146[.]0[.]73[.]109,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
146[.]0[.]73[.]110,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
146[.]0[.]73[.]111,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
185[.]118[.]65[.]230,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
185[.]118[.]66[.]114,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
185[.]92[.]73[.]194,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
188[.]120[.]224[.]198,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
188[.]120[.]247[.]151,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
217[.]12[.]201[.]240,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
217[.]12[.]218[.]242,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
31[.]192[.]105[.]16,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
31[.]192[.]105[.]17,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
31[.]192[.]105[.]28,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
5[.]34[.]180[.]252,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
5[.]34[.]181[.]13,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
62[.]109[.]2[.]52,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
80[.]179[.]42[.]37,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
80[.]179[.]42[.]44,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
86[.]105[.]18[.]5,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
93[.]190[.]138[.]137,ip,CopyKittens operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
alkamaihd[.]com,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
alkamaihd[.]net,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
akamaitechnology[.]com,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
akamaitechnology[.]tech,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
akamitechnology[.]com,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
cloudflare-statics[.]com,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
cloudflare-analyse[.]com,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
gstatic[.]online,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
ssl-gstatic[.]online,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
gsvr-static[.]co,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
twiter-statics[.]info,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
img[.]twiter-statics[.]info,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
fb-statics[.]com,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
fbstatic-a[.]space,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
fbstatic-akamaihd[.]com,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
mcafee-analyzer[.]com,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
digicert[.]online,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
symcd[.]xyz,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
windefender[.]org,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
cortana-search[.]com,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
winfeedback[.]net,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
win-update[.]com,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
winupdate64[.]com,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
winupdate64[.]net,domain,CopyKittens C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,
