value,type,context,source,date
ntsclouds[.]com,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
jtoolbox[.]org,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
idcmht[.]com,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
htname[.]info,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
vdscloud[.]net,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
mainsrv[.]top,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
olex[.]live,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
branchesv[.]com,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
megawoc[.]com,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
fikofiko[.]top,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
p2020[.]club,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
pronews[.]icu,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
p2020[.]xyz,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
2ndprog[.]monster,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
ercuc[.]com,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
tancredis[.]com,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
mbcde[.]net,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
nopejohn[.]com,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
horizongb[.]com,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
styleco[.]me,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
ewsdocs[.]com,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
raysdoor[.]com,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
vsimperial[.]com,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
mxtms[.]com,domain,Dark Caracal C2/masquerading domain (defanged),https://research.checkpoint.com/2020/bandook-signed-delivered/,
1ad83e9d06428dd87203ab8fcc6142014a9c05f3eb9afd61347834f39082d72a,hash,Dark Caracal sample hash,https://research.checkpoint.com/2020/bandook-signed-delivered/,
74feaf3aa116a88ef3b10453e77feadefbe4e53dd7a71dd3b8309cc9d76cdec9,hash,Dark Caracal sample hash,https://research.checkpoint.com/2020/bandook-signed-delivered/,
034d8ec8d510033c387bb87cac35d240b7b8daa3b5167732118c755c5e6c1d48,hash,Dark Caracal sample hash,https://research.checkpoint.com/2020/bandook-signed-delivered/,
766917fe9b543bf218bd824d55967d63f94b28456f1d4919bc990d8262dc608d,hash,Dark Caracal sample hash,https://research.checkpoint.com/2020/bandook-signed-delivered/,
d4cf5c5c60e972cc19782d1f37ec9d47dd1e81cdf481b64dab62f96bac846bb4,hash,Dark Caracal sample hash,https://research.checkpoint.com/2020/bandook-signed-delivered/,
06ed3daccfbb30c68a33583a761fc20cc3e21adb8dd64a42d922e6da2a01c0dd,hash,Dark Caracal sample hash,https://research.checkpoint.com/2020/bandook-signed-delivered/,
27c6341554a04bdc792ffbc5cda26511cbcfcc66334fb6ebbc24a14969b4e498,hash,Dark Caracal sample hash,https://research.checkpoint.com/2020/bandook-signed-delivered/,
27f8d8bbbeeda5fc439ee18d9d4da343,hash,Dark Caracal sample hash,https://research.checkpoint.com/2020/bandook-signed-delivered/,
44584c8d010242fddb44afe5ce860872,hash,Dark Caracal sample hash,https://research.checkpoint.com/2020/bandook-signed-delivered/,
a6501c62b3a6ffa8d028a88138fe509f,hash,Dark Caracal sample hash,https://research.checkpoint.com/2020/bandook-signed-delivered/,
1a3889ded73044f8ba0a00c2f089a3bd,hash,Dark Caracal sample hash,https://research.checkpoint.com/2020/bandook-signed-delivered/,
70ff19341dee7973ea6dd8e15c6ba86f,hash,Dark Caracal sample hash,https://research.checkpoint.com/2020/bandook-signed-delivered/,
d1600f45005aa8b8fcbb446f34f7b9f5,hash,Dark Caracal sample hash,https://research.checkpoint.com/2020/bandook-signed-delivered/,
4d7e67ed02713c789336f8804231b1ca,hash,Dark Caracal sample hash,https://research.checkpoint.com/2020/bandook-signed-delivered/,
