value,type,context,source,date
94[.]182[.]215[.]98,ip,Domestic Kitten operational IP (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
188[.]158[.]60[.]100,ip,Domestic Kitten operational IP (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
148[.]251[.]97[.]102,ip,Domestic Kitten operational IP (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
176[.]31[.]4[.]14,ip,Domestic Kitten operational IP (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
148[.]251[.]224[.]29,ip,Domestic Kitten operational IP (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
144[.]76[.]177[.]244,ip,Domestic Kitten operational IP (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
137[.]74[.]153[.]98,ip,Domestic Kitten operational IP (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
firmwaresystemupdate[.]com,domain,Domestic Kitten C2/masquerading domain (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
appsoftupdate[.]com,domain,Domestic Kitten C2/masquerading domain (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
downloadmaghaleh[.]com,domain,Domestic Kitten C2/masquerading domain (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
afalr-sharepoint[.]com,domain,Domestic Kitten C2/masquerading domain (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
afalr-onedrive[.]com,domain,Domestic Kitten C2/masquerading domain (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
telegramup[.]com,domain,Domestic Kitten C2/masquerading domain (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
exemplifiable-taps[.]000webhostapp[.]com,domain,Domestic Kitten C2/masquerading domain (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
tbackup[.]000webhostapp[.]com,domain,Domestic Kitten C2/masquerading domain (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
vareangold[.]de,domain,Domestic Kitten C2/masquerading domain (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
telegrambackups[.]com,domain,Domestic Kitten C2/masquerading domain (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
telegramdesktop[.]com,domain,Domestic Kitten C2/masquerading domain (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
picfile[.]net,domain,Domestic Kitten C2/masquerading domain (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
developerchrome[.]com,domain,Domestic Kitten C2/masquerading domain (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
firefox-addons[.]com,domain,Domestic Kitten C2/masquerading domain (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
cpuconfig[.]com,domain,Domestic Kitten C2/masquerading domain (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
update-help[.]com,domain,Domestic Kitten C2/masquerading domain (defanged),https://research.checkpoint.com/2021/domestic-kitten-an-inside-look-at-the-iranian-surveillance-operations/,
