value,type,context,source,date
updatei[.]com,domain,Ferocious Kitten C2/masquerading domain (defanged),https://securelist.com/ferocious-kitten-6-years-of-covert-surveillance-in-iran/102806/,
microsoft[.]com-view[.]space,domain,Ferocious Kitten C2/masquerading domain (defanged),https://securelist.com/ferocious-kitten-6-years-of-covert-surveillance-in-iran/102806/,
aparat[.]com-view[.]space,domain,Ferocious Kitten C2/masquerading domain (defanged),https://securelist.com/ferocious-kitten-6-years-of-covert-surveillance-in-iran/102806/,
khabarfarsi[.]com-view[.]org,domain,Ferocious Kitten C2/masquerading domain (defanged),https://securelist.com/ferocious-kitten-6-years-of-covert-surveillance-in-iran/102806/,
E7986CD2D31EDD7CCB872DC1F0F745BE6A483676CE0291F3C88B94B0E2306EA0,hash,Ferocious Kitten sample hash,https://securelist.com/ferocious-kitten-6-years-of-covert-surveillance-in-iran/102806/,
2E8288C4603A04281127055B749E246ABFD7F6B0F261BFF96A47959DCAE4EE39,hash,Ferocious Kitten sample hash,https://securelist.com/ferocious-kitten-6-years-of-covert-surveillance-in-iran/102806/,
7699C50E8FED564B83FB0996E700FE51900E4F67CEC4E669ED431E6A6F120865,hash,Ferocious Kitten sample hash,https://securelist.com/ferocious-kitten-6-years-of-covert-surveillance-in-iran/102806/,
FA9C0E0CB88B34D51DEB257639314CF54CB11F9867A27579521681A2E17DA4C4,hash,Ferocious Kitten sample hash,https://securelist.com/ferocious-kitten-6-years-of-covert-surveillance-in-iran/102806/,
489B895AD66F13C2A4FFEB218E735CACE2B23D36FA55CD07B7EDB4FBC03048CB,hash,Ferocious Kitten sample hash,https://securelist.com/ferocious-kitten-6-years-of-covert-surveillance-in-iran/102806/,
AB3E9F65C60C1760AFC99629CAEE7FAB8DBA117A16A7F9F843EC43617E824B0D,hash,Ferocious Kitten sample hash,https://securelist.com/ferocious-kitten-6-years-of-covert-surveillance-in-iran/102806/,
54BD9FE21289FAC0D48CC388AA35ECDC854D8C81865564DCB21FC1D73D22B86B,hash,Ferocious Kitten sample hash,https://securelist.com/ferocious-kitten-6-years-of-covert-surveillance-in-iran/102806/,
3A4EF9B7BD7F61C75501262E8B9E31F9E9BC3A841D5DE33DCDEB8AAA65E95F76,hash,Ferocious Kitten sample hash,https://securelist.com/ferocious-kitten-6-years-of-covert-surveillance-in-iran/102806/,
274BEB57AE19CBC5C2027E08CB2B718DEA7ED1ACB21BD329D5ABA33231FB699D,hash,Ferocious Kitten sample hash,https://securelist.com/ferocious-kitten-6-years-of-covert-surveillance-in-iran/102806/,
B71C87AD8A0D179FC317656B339A57F2775B773C0FC54EA2B0B8D171B7AF7A8A,hash,Ferocious Kitten sample hash,https://securelist.com/ferocious-kitten-6-years-of-covert-surveillance-in-iran/102806/,
A7C25D943F8B8689B4A55771349DD7B746FEC094E5CC3F693C90801560A1808C,hash,Ferocious Kitten sample hash,https://securelist.com/ferocious-kitten-6-years-of-covert-surveillance-in-iran/102806/,
405DEB3A129DF7B56357966B723A14C0AA9BC3615E2A20FCCD7D2B5A8CEAB30D,hash,Ferocious Kitten sample hash,https://securelist.com/ferocious-kitten-6-years-of-covert-surveillance-in-iran/102806/,
