value,type,context,source,date
95[.]179[.]177[.]157,ip,Greenbug operational IP (defanged),https://www.security.com/threat-intelligence/shamoon-attacks-mount-middle-east,
185[.]205[.]210[.]46,ip,Greenbug operational IP (defanged),https://www.security.com/threat-intelligence/shamoon-attacks-mount-middle-east,
185[.]243[.]115[.]69,ip,Greenbug operational IP (defanged),https://www.security.com/threat-intelligence/shamoon-attacks-mount-middle-east,
185[.]243[.]114[.]247,ip,Greenbug operational IP (defanged),https://www.security.com/threat-intelligence/shamoon-attacks-mount-middle-east,
apps[.]vvvnews[.]com,domain,Greenbug C2/masquerading domain (defanged),https://www.security.com/threat-intelligence/shamoon-attacks-mount-middle-east,
vsiegru[.]com,domain,Greenbug C2/masquerading domain (defanged),https://www.security.com/threat-intelligence/shamoon-attacks-mount-middle-east,
kopilkaorukov[.]com,domain,Greenbug C2/masquerading domain (defanged),https://www.security.com/threat-intelligence/shamoon-attacks-mount-middle-east,
winrepp[.]com,domain,Greenbug C2/masquerading domain (defanged),https://www.security.com/threat-intelligence/shamoon-attacks-mount-middle-east,
winsecupdater[.]com,domain,Greenbug C2/masquerading domain (defanged),https://www.security.com/threat-intelligence/shamoon-attacks-mount-middle-east,
dnslookupdater[.]com,domain,Greenbug C2/masquerading domain (defanged),https://www.security.com/threat-intelligence/shamoon-attacks-mount-middle-east,
dnssecupdater[.]com,domain,Greenbug C2/masquerading domain (defanged),https://www.security.com/threat-intelligence/shamoon-attacks-mount-middle-east,
29c76f2115bcb3a92aeeedf3368f6ce94a420cd6d88fd5e4b7c37b51f2768c08,hash,Greenbug sample hash,https://www.security.com/threat-intelligence/shamoon-attacks-mount-middle-east,
5bc0a1f33c982916c8085076e8898ddbe8726249867b47df02e58ac3bf466b27,hash,Greenbug sample hash,https://www.security.com/threat-intelligence/shamoon-attacks-mount-middle-east,
2a3f36c849d9fbfe510c00ac4aca1750452cd8f6d8b1bc234d22bc0c40ea1613,hash,Greenbug sample hash,https://www.security.com/threat-intelligence/shamoon-attacks-mount-middle-east,
9809aeb6fd388db9ba60843d5a8489fea268ba30e3935cb142ed914d49c79ac5,hash,Greenbug sample hash,https://www.security.com/threat-intelligence/shamoon-attacks-mount-middle-east,
