value,type,context,source,date
88[.]198[.]222[.]163,ip,Group5 operational IP (defanged),https://citizenlab.ca/2016/08/group5-syria/,
212[.]7[.]195[.]171,ip,Group5 operational IP (defanged),https://citizenlab.ca/2016/08/group5-syria/,
37[.]137[.]131[.]70,ip,Group5 operational IP (defanged),https://citizenlab.ca/2016/08/group5-syria/,
assadcrimes[.]info,domain,Group5 C2/masquerading domain (defanged),https://citizenlab.ca/2016/08/group5-syria/,
76F8142B4E52C671871B3DF87F10C30C,hash,Group5 sample hash,https://citizenlab.ca/2016/08/group5-syria/,
F1F84EA3229DCA0CCACB7381A2F49F99,hash,Group5 sample hash,https://citizenlab.ca/2016/08/group5-syria/,
30BB678DB3AD0140FC33ACD9803385C3,hash,Group5 sample hash,https://citizenlab.ca/2016/08/group5-syria/,
2FC276E1C06C3C78C6D7B66A141213BE,hash,Group5 sample hash,https://citizenlab.ca/2016/08/group5-syria/,
7d898530d2e77f15f5badce8d7df215e,hash,Group5 sample hash,https://citizenlab.ca/2016/08/group5-syria/,
dd5bedd915967c5efe00733cf7478cb4,hash,Group5 sample hash,https://citizenlab.ca/2016/08/group5-syria/,
a4f1f4921bb11ff9d22fad89b19b155d,hash,Group5 sample hash,https://citizenlab.ca/2016/08/group5-syria/,
6161083021b695814434450c1882f9f3,hash,Group5 sample hash,https://citizenlab.ca/2016/08/group5-syria/,
b4121c3a1892332402000ef0d587c0ee,hash,Group5 sample hash,https://citizenlab.ca/2016/08/group5-syria/,
8EBEB3F91CDA8E985A9C61BEB8CDDE9D,hash,Group5 sample hash,https://citizenlab.ca/2016/08/group5-syria/,
CVE-2014-4114,cve,Exploited by Group5,https://citizenlab.ca/2016/08/group5-syria/,
