value,type,context,source,date
185[.]243[.]112[.]120,ip,HEXANE/Lyceum C2 IP (defanged),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
185[.]244[.]213[.]73,ip,HEXANE/Lyceum C2 IP (defanged),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
198[.]23[.]239[.]140,ip,HEXANE/Lyceum C2 IP (defanged),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
23[.]94[.]22[.]145,ip,HEXANE/Lyceum C2 IP (defanged),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
23[.]95[.]218[.]240,ip,HEXANE/Lyceum C2 IP (defanged),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
23[.]95[.]9[.]100,ip,HEXANE/Lyceum C2 IP (defanged),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
51[.]79[.]62[.]98,ip,HEXANE/Lyceum C2 IP (defanged),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
akastatus[.]com,domain,HEXANE/Lyceum C2 domain (defanged),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
jobschippc[.]com,domain,HEXANE/Lyceum C2 domain (defanged),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
softwareagjob[.]com,domain,HEXANE/Lyceum C2 domain (defanged),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
softwareagjobs[.]com,domain,HEXANE/Lyceum C2 domain (defanged),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
zonestatistic[.]com,domain,HEXANE/Lyceum C2 domain (defanged),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
defenderlive[.]com,domain,HEXANE/Lyceum C2 domain (defanged),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
defenderstatus[.]com,domain,HEXANE/Lyceum C2 domain (defanged),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
dnsstatus[.]org,domain,HEXANE/Lyceum C2 domain (defanged),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
wsuslink[.]com,domain,HEXANE/Lyceum C2 domain (defanged),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
08261ed40e21140eb438f16af0233217c701d9b022dce0a45b6e3e1ee2467739,hash,HEXANE/Lyceum malware sample (DanBot/Milan/Shark family),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
21ab4357262993a042c28c1cdb52b2dab7195a6c30fa8be723631604dd330b29,hash,HEXANE/Lyceum malware sample (DanBot/Milan/Shark family),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
2f2ef9e3f6db2146bd277d3c4e94c002ecaf7deaabafe6195fddabc81a8ee76c,hash,HEXANE/Lyceum malware sample (DanBot/Milan/Shark family),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
44faf11719b3a679e7a6dd5db40033ec4dd6e1b0361c145b81586cb735a64112,hash,HEXANE/Lyceum malware sample (DanBot/Milan/Shark family),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
4f1b8c9209fa2684aa3777353222ad1c7716910dbb615d96ffc7882eb81dd248,hash,HEXANE/Lyceum malware sample (DanBot/Milan/Shark family),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
5208cca3c4a8c42d590de4cfed4abfd37e99247bc06cba529dec55b836a55e74,hash,HEXANE/Lyceum malware sample (DanBot/Milan/Shark family),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
586b25053bd98c8f8e50ff01d35aaa438e10458a36c56e75f0e803d3e97a6012,hash,HEXANE/Lyceum malware sample (DanBot/Milan/Shark family),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
74c331cfacbe57f3c92a4bddce237253cab52755f2149625eff18e0ecdbcdda2,hash,HEXANE/Lyceum malware sample (DanBot/Milan/Shark family),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
89ab99f5721b691e5513f4192e7c96eb0981ddb6c2d2b94c1a32e2df896397b8,hash,HEXANE/Lyceum malware sample (DanBot/Milan/Shark family),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
8a1aba0de3f00c04dbaa8ebb905f7398a2b532619a1b0f5a715e0ad04de0d06b,hash,HEXANE/Lyceum malware sample (DanBot/Milan/Shark family),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
99a8d8bb87070458c0c007205418e7a209f0b97914045ff4121b4df4b54ce554,hash,HEXANE/Lyceum malware sample (DanBot/Milan/Shark family),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
b46949feeda8726c0fb86d3cd32d3f3f53f6d2e6e3fcd6f893a76b8b2632b249,hash,HEXANE/Lyceum malware sample (DanBot/Milan/Shark family),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
d3606e2e36db0a0cb1b8168423188ee66332cae24fe59d63f93f5f53ab7c3029,hash,HEXANE/Lyceum malware sample (DanBot/Milan/Shark family),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
f6ae4f4373510c4e096fab84383b547c8997ccf3673c00660df8a3dc9ed1f3ca,hash,HEXANE/Lyceum malware sample (DanBot/Milan/Shark family),https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf,2021-08
