value,type,context,source
f116acc6508843f59e59fb5a8d643370dce82f492a217764521f46a856cc4cb5,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
bad65769c0b416bb16a82b5be11f1d4788239f8b2ba77ae57948b53a69e230a6,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
ec4cd040fd14bff86f6f6e7ba357e5bcf150c455532800edf97782836e97f6d2,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
63dd02c371e84323c4fd9a161a75e0f525423219e8a6ec1b95dd9eda182af2c9,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
e1204ebbd8f15dbf5f2e41dddc5337e3182fc4daf75b05acc948b8b965480ca0,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
3c9dc8ada56adf9cebfc501a2d3946680dcb0534a137e2e27a7fcb5994cd9de6,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
7ad64b64e0a4e510be42ba631868bbda8779139dc0daad9395ab048306cc83c5,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
cad2bc224108142b5aa19d787c19df236b0d12c779273d05f9b0298a63dc1fe5,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
45bf0057b3121c6e444b316afafdd802d16083282d1cbfde3cdbf2a9d0915ace,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
0f75d40308887aebba0d5b0d2671305b73c9431902f86e672380a6dc6ab97d07,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
8f766dea3afd410ebcd5df5994a3c571,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
1635e1acd72809479e21b0ac5497a79b,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
18e01dee14167c1cf8a58b6a648ee049,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
0738242a521bdfe1f3ecc173f1726aa1,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
7b71764236f244ae971742ee1bc6b098,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
58d51c1152817ca3dec77f2eee52cbef,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
8f6e7653807ebb57ecc549cef991d505,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
e233f2cdc91faafe1467d9e52f166213,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
a9fa6cfdba41c57d8094545e9b56db36,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
e9b6ecbf0783fa9d6981bba76d949c94,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
dae02f32a21e03ce65412f6e56942daa,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
60afb1e62ac61424a542b8c7b4d2cf01,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
bbe983dba3bf319621b447618548b740,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
5b2ce9270beea5915ec9adbcd0dbb070,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
78562ba0069d4235f28efd01e3f32a82,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
59a85e8ec23ef5b5c215cd5c8e5bc2ab,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
74a6ef9e7b49c71341e439022f643c8e,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
81e123351eb80e605ad73268a5653ff3,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
a9fa6cfdba41c57d8094545e9b56db36,hash,Homeland Justice sample hash,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
CVE-2019-0604,cve,Exploited by Homeland Justice,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-264a
