value,type,context,source,date
146[.]185[.]219[.]220,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
193[.]182[.]144[.]12,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
194[.]62[.]42[.]98,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
64[.]176[.]165[.]70,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
95[.]164[.]61[.]253,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
95[.]164[.]61[.]254,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
45[.]32[.]181[.]118,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
193[.]182[.]144[.]120,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
64[.]176[.]164[.]117,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
45[.]155[.]37[.]140,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
192[.]71[.]27[.]150,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
185[.]212[.]149[.]35,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
51[.]81[.]165[.]110,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
82[.]166[.]160[.]20,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
192[.]52[.]166[.]71,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
162[.]252[.]175[.]48,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
45[.]93[.]82[.]109,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
77[.]91[.]74[.]230,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
77[.]91[.]74[.]21,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
195[.]20[.]17[.]14,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
185[.]253[.]72[.]206,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
185[.]220[.]206[.]251,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
185[.]241[.]4[.]7,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
195[.]20[.]17[.]198,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
45[.]93[.]93[.]198,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
83[.]229[.]81[.]175,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
146[.]185[.]219[.]97,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
193[.]182[.]144[.]175,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
103[.]105[.]49[.]108,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
185[.]105[.]0[.]84,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
45[.]81[.]226[.]38,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
149[.]248[.]54[.]40,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
194[.]62[.]42[.]243,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
94[.]131[.]114[.]32,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
45[.]8[.]146[.]37,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
45[.]155[.]37[.]105,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
163[.]182[.]144[.]239,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
64[.]176[.]172[.]26,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
77[.]91[.]94[.]151,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
95[.]164[.]18[.]234,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
74[.]119[.]192[.]252,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
82[.]166[.]160[.]26,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
64[.]176[.]165[.]229,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
193[.]182[.]144[.]52,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
64[.]176[.]171[.]141,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
217[.]195[.]153[.]114,ip,Imperial Kitten operational IP (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
cdn[.]jguery[.]org,domain,Imperial Kitten C2/masquerading domain (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
cdn-analytics[.]co,domain,Imperial Kitten C2/masquerading domain (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
jquery-cdn[.]online,domain,Imperial Kitten C2/masquerading domain (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
jquery-stack[.]online,domain,Imperial Kitten C2/masquerading domain (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
cdnpakage[.]com,domain,Imperial Kitten C2/masquerading domain (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
fastanalizer[.]live,domain,Imperial Kitten C2/masquerading domain (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
fastanalytics[.]live,domain,Imperial Kitten C2/masquerading domain (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
hotjar[.]info,domain,Imperial Kitten C2/masquerading domain (defanged),https://www.crowdstrike.com/en-us/blog/imperial-kitten-deploys-novel-malware-families/,
