value,type,context,source
5763530f25ed0ec08fb26a30c04009f1,md5,MuddyWater sample index.exe (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
2a6ddf89a8366a262b56a251b00aafaed5321992,sha1,MuddyWater sample index.exe (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
bf090cf7078414c9e157da7002ca727f06053b39fa4e377f9a0050f2af37d3a2,sha256,MuddyWater sample index.exe (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
15fa3b32539d7453a9a85958b77d4c95,md5,MuddyWater sample gram_app.exe (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
11d594f3b3cf8525682f6214acb7b7782056d282,sha1,MuddyWater sample gram_app.exe (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
b75208393fa17c0bcbc1a07857686b8c0d7e0471d00a167a07fd0d52e1fc9054,sha256,MuddyWater sample gram_app.exe (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
164[.]132[.]237[.]65,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
185[.]117[.]75[.]34,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
185[.]118[.]164[.]21,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
185[.]141[.]27[.]143,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
185[.]141[.]27[.]248,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
185[.]183[.]96[.]44,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
185[.]183[.]96[.]7,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
185[.]25[.]51[.]108,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
185[.]45[.]192[.]228,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
192[.]210[.]191[.]188,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
192[.]210[.]226[.]128,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
45[.]142[.]212[.]61,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
45[.]142[.]213[.]17,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
45[.]153[.]231[.]104,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
46[.]166[.]129[.]159,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
5[.]199[.]133[.]149,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
80[.]85[.]158[.]49,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
87[.]236[.]212[.]22,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
88[.]119[.]170[.]124,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
88[.]119[.]171[.]213,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
89[.]163[.]252[.]232,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
95[.]181[.]161[.]49,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
95[.]181[.]161[.]50,ip,MuddyWater C2 IP (CISA AA22-055A),https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
hxxp://95[.]181[.]161[.]49:80/index[.]php?id=,url,MuddyWater C2 URL,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-055a
