value,type,context,source,date
206[.]189[.]98[.]34,ip,OilAlpha operational IP (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
176[.]123[.]21[.]4,ip,OilAlpha operational IP (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
145[.]14[.]156[.]148,ip,OilAlpha operational IP (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
141[.]255[.]144[.]8,ip,OilAlpha operational IP (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
134[.]122[.]75[.]238,ip,OilAlpha operational IP (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
141[.]255[.]145[.]221,ip,OilAlpha operational IP (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
carversion[.]ddns[.]net,domain,OilAlpha C2/masquerading domain (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
ho1hm2[.]ddns[.]net,domain,OilAlpha C2/masquerading domain (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
ho2hm1[.]ddns[.]net,domain,OilAlpha C2/masquerading domain (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
ksrversionhid[.]sytes[.]net,domain,OilAlpha C2/masquerading domain (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
nrcversion[.]ddns[.]net,domain,OilAlpha C2/masquerading domain (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
nrcversionhid[.]sytes[.]net,domain,OilAlpha C2/masquerading domain (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
carversionhid[.]sytes[.]net,domain,OilAlpha C2/masquerading domain (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
ksrversion[.]ddns[.]net,domain,OilAlpha C2/masquerading domain (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
unsversion[.]ddns[.]net,domain,OilAlpha C2/masquerading domain (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
unsversionhid[.]sytes[.]net,domain,OilAlpha C2/masquerading domain (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
ufufw[.]dynns[.]com,domain,OilAlpha C2/masquerading domain (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
midrmversion[.]ddns[.]net,domain,OilAlpha C2/masquerading domain (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
golom[.]dynns[.]com,domain,OilAlpha C2/masquerading domain (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
coldrmversion[.]ddns[.]net,domain,OilAlpha C2/masquerading domain (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
reportss[.]serveftp[.]com,domain,OilAlpha C2/masquerading domain (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
hotrmversion[.]ddns[.]net,domain,OilAlpha C2/masquerading domain (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
sh1177[.]ddns[.]net,domain,OilAlpha C2/masquerading domain (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
euseus[.]dynns[.]com,domain,OilAlpha C2/masquerading domain (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
kssnew[.]online,domain,OilAlpha C2/masquerading domain (defanged),https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
bfc0226332978216a1a042c8422fb26073fca4d390c71502a5c505fab38ccb05,hash,OilAlpha sample hash,https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
8f0bd17f682bdeb169ea0e1012c86a749a6bb466de3bed2feb2ee0e9ead1bcf9,hash,OilAlpha sample hash,https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
44cb9a9fe1ec9eb0ad20b2bbd6c4081d5c72f4bcad038077cecb4a1d13de46a6,hash,OilAlpha sample hash,https://www.recordedfuture.com/research/oilalpha-likely-pro-houthi-group-targeting-arabian-peninsula,
