value,type,context,source,date
37[.]120[.]233[.]89,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
45[.]80[.]148[.]119,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
45[.]80[.]148[.]167,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
45[.]80[.]148[.]186,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
45[.]80[.]149[.]22,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
45[.]80[.]149[.]57,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
45[.]80[.]149[.]68,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
45[.]80[.]149[.]71,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
45[.]80[.]149[.]108,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
45[.]80[.]149[.]154,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
45[.]137[.]148[.]7,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
135[.]125[.]147[.]170,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
146[.]70[.]86[.]6,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
172[.]96[.]188[.]51,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
185[.]203[.]119[.]99,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
185[.]244[.]129[.]79,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
185[.]244[.]129[.]109,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
185[.]244[.]129[.]216,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
195[.]166[.]100[.]23,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
212[.]73[.]150[.]174,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
51[.]83[.]246[.]73,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
94[.]156[.]189[.]103,ip,POLONIUM operational IP (defanged),https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
cc820ed9a23084104807941b76a2679243ba357c,hash,POLONIUM sample hash,https://www.microsoft.com/en-us/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
