value,type,context,source,date
83[.]170[.]33[.]60,ip,Rocket Kitten operational IP (defanged),https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
83[.]170[.]33[.]37,ip,Rocket Kitten operational IP (defanged),https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
83[.]170[.]43[.]67,ip,Rocket Kitten operational IP (defanged),https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
83[.]170[.]33[.]80,ip,Rocket Kitten operational IP (defanged),https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
84[.]11[.]26[.]230,ip,Rocket Kitten operational IP (defanged),https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
84[.]11[.]75[.]220,ip,Rocket Kitten operational IP (defanged),https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
84[.]11[.]146[.]55,ip,Rocket Kitten operational IP (defanged),https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
84[.]11[.]146[.]62,ip,Rocket Kitten operational IP (defanged),https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
107[.]6[.]181[.]116,ip,Rocket Kitten operational IP (defanged),https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
107[.]6[.]172[.]54,ip,Rocket Kitten operational IP (defanged),https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
8074ed48b99968f5d36a494cdeb9f80685beb0f5,hash,Rocket Kitten sample hash,https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
e6964d467bd99e20bfef556d4ad663934407fd7b,hash,Rocket Kitten sample hash,https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
fd8793ce4ca23988562794b098b9ed20754f8a90,hash,Rocket Kitten sample hash,https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
6e30d3ef2cd0856ff28adce4cc012853840f6440,hash,Rocket Kitten sample hash,https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
07a77f8b9f0fcc93504dfba2d7d9d26246e5878f,hash,Rocket Kitten sample hash,https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
25d3688763e33eac1428622411d6dda1ec13dd43,hash,Rocket Kitten sample hash,https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
729f9ce76f20822f48dac827c37024fe4ab8ff70,hash,Rocket Kitten sample hash,https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
86222ef166474e53f1eb6d7e6701713834e6fee7,hash,Rocket Kitten sample hash,https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
476489f75fed479f19bac02c79ce1befc62a6633,hash,Rocket Kitten sample hash,https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
c1edf6e3a271cf06030cc46cbd90074488c05564,hash,Rocket Kitten sample hash,https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
c6db3e7e723f20ed3bcf4c53fc4748e9591f4c40,hash,Rocket Kitten sample hash,https://blog.checkpoint.com/research/rocket-kitten-a-campaign-with-9-lives/,
