value,type,context,source,date
95[.]179[.]150[.]101,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
199[.]247[.]3[.]191,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
37[.]139[.]11[.]155,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
185[.]15[.]247[.]140,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
206[.]221[.]184[.]133,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
188[.]166[.]119[.]57,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
185[.]42[.]137[.]89,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
82[.]196[.]8[.]43,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
159[.]89[.]101[.]204,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
146[.]185[.]145[.]202,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
178[.]62[.]218[.]244,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
139[.]162[.]144[.]139,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
142[.]54[.]179[.]69,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
193[.]37[.]213[.]61,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
108[.]61[.]123[.]149,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
212[.]32[.]235[.]160,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
198[.]211[.]120[.]186,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
146[.]185[.]143[.]158,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
146[.]185[.]133[.]141,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
185[.]203[.]116[.]116,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
95[.]179[.]150[.]92,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
174[.]138[.]0[.]113,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
128[.]199[.]50[.]175,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
139[.]59[.]134[.]216,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
45[.]77[.]137[.]65,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
142[.]54[.]164[.]189,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
199[.]247[.]17[.]221,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
82[.]102[.]19[.]88,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
62[.]115[.]255[.]163,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
193[.]34[.]167[.]245,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
93[.]115[.]22[.]212,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
95[.]179[.]176[.]250,ip,Sea Turtle operational IP (defanged),https://blog.talosintelligence.com/seaturtle/,
ns1[.]intersecdns[.]com,domain,Sea Turtle C2/masquerading domain (defanged),https://blog.talosintelligence.com/seaturtle/,
ns2[.]intersecdns[.]com,domain,Sea Turtle C2/masquerading domain (defanged),https://blog.talosintelligence.com/seaturtle/,
ns1[.]lcjcomputing[.]com,domain,Sea Turtle C2/masquerading domain (defanged),https://blog.talosintelligence.com/seaturtle/,
ns2[.]lcjcomputing[.]com,domain,Sea Turtle C2/masquerading domain (defanged),https://blog.talosintelligence.com/seaturtle/,
forward[.]boord[.]info,domain,Sea Turtle C2/masquerading domain (defanged),https://blog.talosintelligence.com/seaturtle/,
lo0[.]systemctl[.]network,domain,Sea Turtle C2/masquerading domain (defanged),https://blog.talosintelligence.com/seaturtle/,
CVE-2009-1151,cve,Exploited by Sea Turtle,https://blog.talosintelligence.com/seaturtle/,
CVE-2014-6271,cve,Exploited by Sea Turtle,https://blog.talosintelligence.com/seaturtle/,
CVE-2017-3881,cve,Exploited by Sea Turtle,https://blog.talosintelligence.com/seaturtle/,
CVE-2017-6736,cve,Exploited by Sea Turtle,https://blog.talosintelligence.com/seaturtle/,
CVE-2017-12617,cve,Exploited by Sea Turtle,https://blog.talosintelligence.com/seaturtle/,
CVE-2018-0296,cve,Exploited by Sea Turtle,https://blog.talosintelligence.com/seaturtle/,
CVE-2018-7600,cve,Exploited by Sea Turtle,https://blog.talosintelligence.com/seaturtle/,
