value,type,context,source,date
pmd-office[.]info,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
modpak[.]info,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
dirctt888[.]info,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
modpak-info[.]services,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
pmd-offc[.]info,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
dowmloade[.]org,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
dirctt888[.]com,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
portdedjibouti[.]live,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
mods[.]email,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
dowmload[.]co,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
downl0ad[.]org,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
d0wnlaod[.]com,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
d0wnlaod[.]org,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
dirctt88[.]info,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
directt88[.]com,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
file-dwnld[.]org,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
defencearmy[.]pro,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
document-viewer[.]info,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
aliyum[.]email,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
d0cumentview[.]info,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
debcon[.]live,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
document-viewer[.]live,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
documentviewer[.]info,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
ms-office[.]app,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
ms-office[.]pro,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
pncert[.]info,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
session-out[.]com,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
zeltech[.]live,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
ziptec[.]info,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
depo-govpk[.]com,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
crontec[.]site,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
mteron[.]info,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
mevron[.]tech,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
veorey[.]live,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
mod-kh[.]info,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
mofa-gov-sa[.]direct888[.]net,domain,SideWinder C2/masquerading domain (defanged),https://attack.mitre.org/groups/G0121/,
e9726519487ba9e4e5589a8a5ec2f933,hash,SideWinder sample hash,https://attack.mitre.org/groups/G0121/,
d36a67468d01c4cb789cd6794fb8bc70,hash,SideWinder sample hash,https://attack.mitre.org/groups/G0121/,
313f9bbe6dac3edc09fe9ac081950673,hash,SideWinder sample hash,https://attack.mitre.org/groups/G0121/,
bd8043127abe3f5cfa61bd2174f54c60,hash,SideWinder sample hash,https://attack.mitre.org/groups/G0121/,
e0bce049c71bc81afe172cd30be4d2b7,hash,SideWinder sample hash,https://attack.mitre.org/groups/G0121/,
872c2ddf6467b1220ee83dca0e118214,hash,SideWinder sample hash,https://attack.mitre.org/groups/G0121/,
3d9961991e7ae6ad2bae09c475a1bce8,hash,SideWinder sample hash,https://attack.mitre.org/groups/G0121/,
a694ccdb82b061c26c35f612d68ed1c2,hash,SideWinder sample hash,https://attack.mitre.org/groups/G0121/,
f42ba43f7328cbc9ce85b2482809ff1c,hash,SideWinder sample hash,https://attack.mitre.org/groups/G0121/,
0216ffc6fb679bdf4ea6ee7051213c1e,hash,SideWinder sample hash,https://attack.mitre.org/groups/G0121/,
433480f7d8642076a8b3793948da5efe,hash,SideWinder sample hash,https://attack.mitre.org/groups/G0121/,
CVE-2017-11882,cve,Exploited by SideWinder,https://attack.mitre.org/groups/G0121/,
