value,type,context,source,date
95[.]215[.]44[.]37,ip,Stealth Falcon operational IP (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
footballtimes[.]info,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
vegetableportfolio[.]com,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
windowsearchcache[.]com,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
electricalweb[.]org,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
upnpdiscover[.]org,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
adhostingcache[.]com,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
adhostingcaches[.]com,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
simpleadbanners[.]com,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
clickstatistic[.]com,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
bestairlinepricetags[.]com,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
fasttravelclearance[.]com,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
yeastarr[.]com,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
amnkeysvc[.]com,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
amnkeysvcs[.]com,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
optimizedimghosting[.]com,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
incapsulawebcache[.]com,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
edgecacheimagehosting[.]com,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
ministrynewschannel[.]com,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
ministrynewsinfo[.]com,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
airlineadverts[.]com,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
aax[.]me,domain,Stealth Falcon C2/masquerading domain (defanged),https://citizenlab.ca/2016/05/stealth-falcon/,
80e8ef78b9e28015cde4205aaa65da97,hash,Stealth Falcon sample hash,https://citizenlab.ca/2016/05/stealth-falcon/,
f25466e4820404c817eaf75818b7177891735886,hash,Stealth Falcon sample hash,https://citizenlab.ca/2016/05/stealth-falcon/,
5a372b45285fe6f3df3ba277ee2de55d4a30fc8ef05de729cf464103632db40f,hash,Stealth Falcon sample hash,https://citizenlab.ca/2016/05/stealth-falcon/,
87e1df6f36b96b56186444e37e2a1ef5,hash,Stealth Falcon sample hash,https://citizenlab.ca/2016/05/stealth-falcon/,
1c3757006f972ca957d925accf8bbb3023550d1b,hash,Stealth Falcon sample hash,https://citizenlab.ca/2016/05/stealth-falcon/,
4320204d577ef8b939115d16110e97ff04cb4f7d1e77ba5ce011d43f74abc7be,hash,Stealth Falcon sample hash,https://citizenlab.ca/2016/05/stealth-falcon/,
31B54AEBDAF5FBC73A66AC41CCB35943CC9B7F72,hash,Stealth Falcon sample hash,https://citizenlab.ca/2016/05/stealth-falcon/,
50973A3FC57D70C7911F7A952356188B9939E56B,hash,Stealth Falcon sample hash,https://citizenlab.ca/2016/05/stealth-falcon/,
244EB62B9AC30934098CA4204447440D6FC4E259,hash,Stealth Falcon sample hash,https://citizenlab.ca/2016/05/stealth-falcon/,
5C8F83CC4FF57E7C67925DF4D8DAABE5D0CC07E2,hash,Stealth Falcon sample hash,https://citizenlab.ca/2016/05/stealth-falcon/,
