value,type,context,source,date
ralrab[.]com,domain,StrongPity C2/masquerading domain (defanged),https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
winrar[.]it,domain,StrongPity C2/masquerading domain (defanged),https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
winrar[.]be,domain,StrongPity C2/masquerading domain (defanged),https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
true-crypt[.]com,domain,StrongPity C2/masquerading domain (defanged),https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
updserv-east-cdn3[.]com,domain,StrongPity C2/masquerading domain (defanged),https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
downloading[.]internetdownloading[.]co,domain,StrongPity C2/masquerading domain (defanged),https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
4ad3ecc01d3aa73b97f53e317e3441244cf60cbd,hash,StrongPity sample hash,https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
8b33b11991e1e94b7a1b03d6fb20541c012be0e3,hash,StrongPity sample hash,https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
49c2bcae30a537454ad0b9344b38a04a0465a0b5,hash,StrongPity sample hash,https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
e17b5e71d26b2518871c73e8b1459e85fb922814,hash,StrongPity sample hash,https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
76fc68607a608018277afa74ee09d5053623ff36,hash,StrongPity sample hash,https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
87a38a8c357f549b695541d603de30073035043d,hash,StrongPity sample hash,https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
9f2d9d2131eff6220abaf97e2acd1bbb5c66f4e0,hash,StrongPity sample hash,https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
f8009ef802a28c2e21bce76b31094ed4a16e70d6,hash,StrongPity sample hash,https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
a0437a2c8c50b8748ca3344c38bc80279779add7,hash,StrongPity sample hash,https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
f4831a0983e28ad14e16050e75893cb0,hash,StrongPity sample hash,https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
0629ab800ae234a056b8c3ee1b6d4e45,hash,StrongPity sample hash,https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
900d937455c62807fb4b0b0000142d37,hash,StrongPity sample hash,https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
2d18af05c04e56ab513a06b0ae8bb40f,hash,StrongPity sample hash,https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
6189d3e23fd46225df49808af04acb93,hash,StrongPity sample hash,https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
68a7ec5cbc1d9829af68d049694e98d8,hash,StrongPity sample hash,https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
fb1891e4b5960bfbbe837456c142c474,hash,StrongPity sample hash,https://securelist.com/on-the-strongpity-waterhole-attacks-targeting-italian-and-belgian-encryption-users/76147/,
