value,type,context,source,date
51[.]195[.]37[.]155,ip,Tropic Trooper operational IP (defanged),https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
162[.]19[.]135[.]182,ip,Tropic Trooper operational IP (defanged),https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
blog[.]techmersion[.]com,domain,Tropic Trooper C2/masquerading domain (defanged),https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
techmersion[.]com,domain,Tropic Trooper C2/masquerading domain (defanged),https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
3F15C4431AD4573344AD56E8384EBD62,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
78B47DDA664545542ED3ABE17400C354,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
3B7721715B2842CDFF0AB72BD605A0CE,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
868B8A5012E0EB9A48D2DAF7CB7A5D87,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
149A9E24DBE347C4AF2DE8D135AA4B76,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
103E4C2E4EE558D130C8B59BFD66B4FB,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
E0D9215F64805E0BFF03F4DC796FE52E,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
27C558BD42744CDDC9EDB3FA597D0510,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
4F950683F333F5ED779D70EB38CDADCF,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
FD8382EFB0A16225896D584DA56C182C,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
1DD03936BAF0FE95B7E5B54A9DD4A577,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
8A900F742D0E3CD3898F37DBC3D6E054,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
A213873EB55DC092DDF3ADBEB242BD44,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
DD7593E9BA80502505C958B9BBBF2838,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
2C7EBD103514018BAD223F25026D4DB3,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
0B9AE998423A207F021F8E61B93BC849,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
E845563BA35E8D227152165B0C3E769F,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
3650899c669986e5f4363fdbd6cf5b78a6fcd484,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
23dea3a74e3ff6a367754d02466db4c86ffda47efe09529d3aad52b0d5694b30,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
311d1d50673fbfc40b84d94239cd4fa784269465,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
8df9fa495892fc3d183917162746ef8fd9e438ff0d639264236db553b09629dc,hash,Tropic Trooper sample hash,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
CVE-2021-34473,cve,Exploited by Tropic Trooper,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
CVE-2021-34523,cve,Exploited by Tropic Trooper,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
CVE-2021-31207,cve,Exploited by Tropic Trooper,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
CVE-2023-26360,cve,Exploited by Tropic Trooper,https://securelist.com/new-tropic-trooper-web-shell-infection/113737/,
