value,type,context,source,date
64[.]176[.]169[.]22,ip,Void Manticore operational IP (defanged),https://research.checkpoint.com/2024/bad-karma-no-justice-void-manticore-destructive-activities-in-israel/,2024-05-20
64[.]176[.]172[.]235,ip,Void Manticore operational IP (defanged),https://research.checkpoint.com/2024/bad-karma-no-justice-void-manticore-destructive-activities-in-israel/,2024-05-20
64[.]176[.]172[.]165,ip,Void Manticore operational IP (defanged),https://research.checkpoint.com/2024/bad-karma-no-justice-void-manticore-destructive-activities-in-israel/,2024-05-20
64[.]176[.]173[.]77,ip,Void Manticore operational IP (defanged),https://research.checkpoint.com/2024/bad-karma-no-justice-void-manticore-destructive-activities-in-israel/,2024-05-20
64[.]176[.]172[.]101,ip,Void Manticore operational IP (defanged),https://research.checkpoint.com/2024/bad-karma-no-justice-void-manticore-destructive-activities-in-israel/,2024-05-20
D0C03D40772CD468325BBC522402F7B737F18B8F37A89BACC5C8A00C2B87BFC6,hash,Void Manticore sample hash,https://research.checkpoint.com/2024/bad-karma-no-justice-void-manticore-destructive-activities-in-israel/,2024-05-20
DEEAF85B2725289D5FC262B4F60DDA0C68AE42D8D46D0DC19B9253B451AEA25A,hash,Void Manticore sample hash,https://research.checkpoint.com/2024/bad-karma-no-justice-void-manticore-destructive-activities-in-israel/,2024-05-20
87F0A902D6B2E2AE3647F10EA214D19DB9BD117837264AE15D622B5314FF03A5,hash,Void Manticore sample hash,https://research.checkpoint.com/2024/bad-karma-no-justice-void-manticore-destructive-activities-in-israel/,2024-05-20
85FA58CC8C4560ADB955BA0AE9B9D6CAB2C381D10DBD42A0BCEB8B62A92B7636,hash,Void Manticore sample hash,https://research.checkpoint.com/2024/bad-karma-no-justice-void-manticore-destructive-activities-in-israel/,2024-05-20
74D8D60E900F931526A911B7157511377C0A298AF986D42D373F51AAC4F362F6,hash,Void Manticore sample hash,https://research.checkpoint.com/2024/bad-karma-no-justice-void-manticore-destructive-activities-in-israel/,2024-05-20
CC77E8AB73B577DE1924E2F7A93BCFD852B3C96C6546229BC8B80BF3FD7BF24E,hash,Void Manticore sample hash,https://research.checkpoint.com/2024/bad-karma-no-justice-void-manticore-destructive-activities-in-israel/,2024-05-20
40417e937cd244b2f928150cae6fa0eff5551fdb401ea072f6ecdda67a747e17,hash,Void Manticore sample hash,https://research.checkpoint.com/2024/bad-karma-no-justice-void-manticore-destructive-activities-in-israel/,2024-05-20
CVE-2019-0604,cve,Exploited by Void Manticore,https://research.checkpoint.com/2024/bad-karma-no-justice-void-manticore-destructive-activities-in-israel/,2024-05-20
