value,type,context,source,date
68[.]65[.]122[.]109,ip,Volatile Cedar operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
74[.]208[.]73[.]149,ip,Volatile Cedar operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
191[.]101[.]5[.]183,ip,Volatile Cedar operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
198[.]101[.]242[.]72,ip,Volatile Cedar operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
169[.]50[.]13[.]61,ip,Volatile Cedar operational IP (defanged),https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
edortntexplore[.]info,domain,Volatile Cedar C2/masquerading domain (defanged),https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
a97fdcb6493c2012aeebdeef0e09625a,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
1316d35f6472eb323ae2c8b75199fbb5,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
09a0970bfc1bc8acec1ec609d8d98fda,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
fef76a8027e07c7a51b312a26c488653,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
902bcc27ed86bc623e20532239895da7,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
8ac64a171736252b81c4a559df1f9bae,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
65954b4c60031fb857a09761497ff641,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
4147d6beb17b507a5df345dae5f15c41,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
544fdcce998fc7f4bb2914b3ec5b4761,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
1aebf9d07fe6e82d97e062cdbe656a36,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
5d1f75bfc7cbd96891f26b1041fd5994,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
b54346cdaf9556eb88f3d95e0bad2be5,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
e9f0260409c6c964985fa4df926d7e04,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
3188df195d09ee38d89707501e330c2f,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
33af1cd4585da9ed804068b2a45fc8b4,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
6ba944e9d3d96a46509204cd06ea2b11,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
61f46fa93083d3a160ac8356fbc15722,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
150dc0141b8a0010bb5a82419b3293eb,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
7d58573b98597a010597423652ae3394,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
f30f2184ed83929cf96157bc91210daa,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
8ed3d1cadc4c2251ec606b9d6eb5d272,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
2d804386de4073bad642dfc816876d08,hash,Volatile Cedar sample hash,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
CVE-2012-3152,cve,Exploited by Volatile Cedar,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
CVE-2019-3396,cve,Exploited by Volatile Cedar,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
CVE-2019-11581,cve,Exploited by Volatile Cedar,https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,
