value,type,context,source
185[.]158[.]248[.]161,ip,WIRTE C2 / operational IP (defanged),https://attack.mitre.org/groups/G0090/
193[.]168[.]141[.]29,ip,WIRTE C2 / operational IP (defanged),https://attack.mitre.org/groups/G0090/
140[.]99[.]164[.]56,ip,WIRTE C2 / operational IP (defanged),https://attack.mitre.org/groups/G0090/
160[.]119[.]251[.]181,ip,WIRTE C2 / operational IP (defanged),https://attack.mitre.org/groups/G0090/
188[.]92[.]78[.]148,ip,WIRTE C2 / operational IP (defanged),https://attack.mitre.org/groups/G0090/
45[.]134[.]9[.]202,ip,WIRTE C2 / operational IP (defanged),https://attack.mitre.org/groups/G0090/
213[.]252[.]244[.]234,ip,WIRTE C2 / operational IP (defanged),https://attack.mitre.org/groups/G0090/
5[.]42[.]221[.]151,ip,WIRTE C2 / operational IP (defanged),https://attack.mitre.org/groups/G0090/
80[.]77[.]25[.]49,ip,WIRTE C2 / operational IP (defanged),https://attack.mitre.org/groups/G0090/
37[.]221[.]65[.]254,ip,WIRTE C2 / operational IP (defanged),https://attack.mitre.org/groups/G0090/
91[.]211[.]89[.]33,ip,WIRTE C2 / operational IP (defanged),https://attack.mitre.org/groups/G0090/
91[.]203[.]6[.]27,ip,WIRTE C2 / operational IP (defanged),https://attack.mitre.org/groups/G0090/
45[.]129[.]96[.]174,ip,WIRTE C2 / operational IP (defanged),https://attack.mitre.org/groups/G0090/
45[.]129[.]97[.]207,ip,WIRTE C2 / operational IP (defanged),https://attack.mitre.org/groups/G0090/
master-dental[.]com,domain,WIRTE C2/staging domain (defanged),https://attack.mitre.org/groups/G0090/
requestinspector[.]com,domain,WIRTE C2/staging domain (defanged),https://attack.mitre.org/groups/G0090/
theshortner[.]com,domain,WIRTE C2/staging domain (defanged),https://attack.mitre.org/groups/G0090/
saudiday[.]org,domain,WIRTE C2/staging domain (defanged),https://attack.mitre.org/groups/G0090/
jordansons[.]com,domain,WIRTE C2/staging domain (defanged),https://attack.mitre.org/groups/G0090/
egyptican[.]com,domain,WIRTE C2/staging domain (defanged),https://attack.mitre.org/groups/G0090/
healthcarb[.]com,domain,WIRTE C2/staging domain (defanged),https://attack.mitre.org/groups/G0090/
inclusive-economy[.]com,domain,WIRTE C2/staging domain (defanged),https://attack.mitre.org/groups/G0090/
king-pharmacy[.]com,domain,WIRTE C2/staging domain (defanged),https://attack.mitre.org/groups/G0090/
bankjordan[.]com,domain,WIRTE C2/staging domain (defanged),https://attack.mitre.org/groups/G0090/
saudiarabianow[.]org,domain,WIRTE C2/staging domain (defanged),https://attack.mitre.org/groups/G0090/
jordanrefugees[.]com,domain,WIRTE C2/staging domain (defanged),https://attack.mitre.org/groups/G0090/
egyptskytours[.]com,domain,WIRTE C2/staging domain (defanged),https://attack.mitre.org/groups/G0090/
egypttourism-online[.]com,domain,WIRTE C2/staging domain (defanged),https://attack.mitre.org/groups/G0090/
suppertools[.]com,domain,WIRTE C2/staging domain (defanged),https://attack.mitre.org/groups/G0090/
healthscratches[.]com,domain,WIRTE C2/staging domain (defanged),https://attack.mitre.org/groups/G0090/
